latitude,longitude,confidence,frp
8.74817,77.92298,n,4.18
8.75105,77.91872,n,6.71
8.75161,77.92247,n,7.65
8.75887,78.09171,n,3.77
8.76233,78.09119,n,3.91
8.98918,77.19826,n,5.8
9.2733,77.46722,n,2.61
9.28751,76.51051,n,2.06
9.57503,78.30875,n,11.61
9.57561,78.3127,n,13.58
9.57855,78.30824,n,11.41
9.57913,78.31218,n,11.47
9.58652,78.43704,n,9.03
9.66073,78.82226,n,2.2
9.6954,78.12665,n,10.5
9.712,77.79408,n,4.91
9.71545,77.79356,n,4.91
9.72487,77.29221,n,2.94
9.73866,77.40913,n,1.9
9.74605,77.41205,n,5.56
9.7485,76.42723,n,6.1
9.75702,77.70178,n,3.07
9.94642,78.71387,n,6.19
10.03528,77.9853,n,6.58
10.10493,77.69646,l,4.77
10.10548,77.70026,n,4.77
10.10837,77.69594,l,7.47
10.18897,77.27374,l,8.03
10.21608,76.30568,n,3.27
10.29893,77.49796,n,5.21
10.33724,77.95638,l,11.01
10.40009,77.52452,l,6.16
10.40295,77.11915,n,11.78
10.40727,77.17133,n,1.82
10.41011,77.16713,n,9.4
10.41069,77.17096,n,9.4
10.41111,77.1971,n,8.07
10.41171,77.20107,n,8.07
10.4185,77.20007,n,3.53
10.42246,77.20335,n,2.97
10.42968,76.24275,n,2.89
10.43379,77.20937,n,2.7
10.43768,76.20538,n,2.44
10.43773,77.20855,n,15.93
10.6514,76.39288,n,2.91
10.71793,79.53825,n,7.77
10.80995,76.66103,l,1.61
10.81117,76.64611,n,4.53
10.96974,78.97894,n,2.79
11.05697,78.26005,l,8.76
11.10822,76.57994,l,3.71
11.12178,78.68931,n,6.05
11.1654,76.52608,n,3.97
11.17447,76.60973,n,3.28
11.17781,76.60909,n,4.02
11.19149,76.51751,n,7.4
11.192,76.52094,n,7.4
11.25927,77.81801,n,3.37
11.29915,76.18131,n,5.75
11.38108,77.76775,n,7.34
11.38214,77.76838,n,7.04
11.40946,76.57552,n,88.28
11.41,76.57909,n,54.7
11.41054,76.58268,n,54.7
11.41107,76.58627,n,4.51
11.41282,76.57502,h,88.28
11.41336,76.57861,h,54.7
11.4139,76.58219,h,54.7
11.41443,76.58578,n,4.51
11.41726,76.58171,n,77.73
11.4178,76.58531,n,8.67
11.42062,76.58123,n,77.73
11.42241,76.58051,n,3.89
11.42295,76.58411,n,3.58
11.42614,76.6058,n,7.47
11.44049,78.84458,n,8.21
11.45129,77.6067,l,2.52
11.45411,76.77274,n,1.58
11.46098,76.85085,n,7.2
11.46201,76.85039,n,9.62
11.46629,76.62182,l,12.44
11.46683,76.62543,n,12.44
11.46981,76.59924,n,11.93
11.47317,76.59871,n,7.94
11.47438,76.58372,l,3.19
11.47706,76.60176,n,7.94
11.47759,76.60536,n,7.53
11.48846,77.46322,n,3.18
11.49192,77.46272,n,5.02
11.53523,79.00765,n,8.23
11.54639,78.96687,n,5.4
11.54804,78.96472,n,4.35
11.72455,78.69717,n,4.32
11.72482,78.69607,l,2.82
11.72549,78.70067,l,10.46
11.72822,78.69675,n,4.32
11.74043,78.67697,n,4.98
11.75551,78.98833,l,2.41
11.78607,78.18354,n,6.85
11.82366,78.58305,l,2.66
11.82393,78.58238,n,1.92
11.8397,78.75288,l,1.68
11.86983,78.69994,l,2.08
12.02,79.30599,n,2.45
12.15609,79.58961,l,5.93
12.26201,79.86868,n,9.45
12.26644,77.64193,n,22.58
12.28907,79.80238,n,3.31
12.31831,77.30333,n,3.82
12.32571,78.63744,l,3.43
12.33454,79.46805,n,3.91
12.3353,78.41418,l,4.11
12.34658,77.89868,n,8.23
12.36615,78.66496,n,2.25
12.39046,79.93225,n,4.98
12.39444,79.93169,n,5.81
12.39628,79.91554,n,3.15
12.41874,77.8025,n,5.53
12.42059,76.15285,l,7.58
12.43495,78.69968,n,6.85
12.48012,78.72559,l,1.9
12.48197,78.72622,n,2.08
12.48971,78.19598,n,21.76
12.52582,78.60793,l,4.06
12.53395,79.10905,l,3.72
12.53516,79.11246,l,2.16
12.56239,77.77344,n,13.21
12.59355,77.94819,l,6.33
12.59498,77.94776,n,5.36
12.6121,77.89922,l,5.41
12.62601,79.29948,n,1.49
12.64406,79.01189,n,5.8
12.65454,78.89275,l,2.67
12.66208,78.89205,l,2.2
12.66959,78.89111,l,3.36
12.66976,79.24921,l,1.42
12.69718,78.89704,l,3.04
12.71648,78.83936,l,3.08
12.71936,78.83797,l,3.71
12.71956,78.86613,l,3.24
12.72025,78.86716,l,3.78
12.72375,78.84202,n,3.94
12.72398,78.83852,l,4.48
12.72459,78.84299,l,3.75
12.72714,78.66837,n,8.42
12.79201,76.04239,n,3.76
12.81061,77.5014,n,9.79
12.81079,78.62965,n,5.65
12.82604,77.99122,n,3.46
12.83132,79.00491,n,6.67
12.90753,78.6198,n,7.05
12.90816,78.62418,n,7.43
12.90951,78.62115,n,11.43
12.91011,78.62556,n,8.94
12.91381,78.62495,l,3.35
12.9175,78.62435,l,3.35
12.92119,78.62375,n,13.29
12.98665,78.47921,l,5.49
12.9873,78.47809,l,5.63
12.98803,78.4074,l,3.36
9.56154,78.59706,n,1.7
10.27283,77.30315,n,1.46
10.27756,77.30367,n,1.46
10.27785,77.46096,n,2.56
10.28076,77.31253,n,3.52
10.28151,77.30844,n,3.52
10.28244,77.4625,n,4.26
10.28546,77.31319,n,3.52
11.18252,76.60307,n,0.56
11.40922,76.57236,n,1.02
11.41356,76.57318,n,1.02
