lat,lon,temp,humidity,wind
8.74817,77.92298,302.61,69,2.73
8.75105,77.91872,302.61,69,2.73
8.75161,77.92247,302.61,69,2.73
8.75887,78.09171,302.25,76,5.98
8.76233,78.09119,302.25,76,5.98
8.98918,77.19826,297.09,93,1.66
9.2733,77.46722,302.28,66,1.48
9.28751,76.51051,299.98,89,0.55
9.57503,78.30875,302.53,71,4.3
9.57561,78.3127,302.53,71,4.3
9.57855,78.30824,302.53,71,4.3
9.57913,78.31218,302.53,71,4.3
9.58652,78.43704,302.62,70,4.39
9.66073,78.82226,303.01,70,4.83
9.6954,78.12665,303.44,74,2.06
9.712,77.79408,301.28,72,0.88
9.71545,77.79356,301.28,72,0.88
9.72487,77.29221,297.14,91,1.73
9.73866,77.40913,293.09,84,1.55
9.74605,77.41205,298.18,82,1.54
